"","Reporter ID","PCE ID","CPCN","Utility Name","Community Name","Intertie","AEA Energy Region","Residential Rate ($/kWh)","PCE Residential Reimbursement Rate ($/kWh)","Residential Rate after PCE ($/kWh)","Percent of Residential Rate Covered by PCE Reimbursement","PCE Community
(Y/N)","Source","Number of monthly records","Communities reported","Notes"
"17","SR-100","331420","169","Alaska Village Electric Cooperative","Koyuk","Koyuk_grid","Bering Straits","0.62726666666666675","0.40901666666666714","0.21824999999999964","0.65206185567010377","Yes","PCE","12","Koyuk",NA
"18","SR-154","331670","169","Alaska Village Electric Cooperative","Saint Michael","Stebbins_grid","Bering Straits","0.618425","0.40063333333333373","0.21779166666666627","0.64782848903801382","Yes","PCE","12","Saint Michael",NA
"19","SR-157","331590","169","Alaska Village Electric Cooperative","Savoonga","Savoonga_grid","Bering Straits","0.57790833333333336","0.35340000000000094","0.22450833333333242","0.61151566713290906","Yes","PCE","12","Savoonga",NA
"20","SR-161","331630","169","Alaska Village Electric Cooperative","Shaktoolik","Shaktoolik_grid","Bering Straits","0.55879166666666669","0.32899166666666668","0.2298","0.58875549921706061","Yes","PCE","12","Shaktoolik",NA
"21","SR-162","331640","169","Alaska Village Electric Cooperative","Shishmaref","Shishmaref_grid","Bering Straits","0.66022499999999995","0.44031666666666702","0.21990833333333293","0.6669191058603765","Yes","PCE","12","Shishmaref",NA
"22","SR-167","331680","169","Alaska Village Electric Cooperative","Stebbins","Stebbins_grid","Bering Straits","0.60345833333333332","0.38640833333333369","0.21704999999999963","0.64032313747151892","Yes","PCE","12","Stebbins",NA
"23","SR-188","331730","169","Alaska Village Electric Cooperative","Wales","Wales_grid","Bering Straits","0.70720833333333333","0.48498333333333343","0.22222499999999992","0.68577151947210291","Yes","PCE","12","Wales",NA
"24","SR-31","331270","169","Alaska Village Electric Cooperative","Brevig Mission","Brevig Mission_grid","Bering Straits","0.60623333333333329","0.38902499999999995","0.21720833333333334","0.6417083631165118","Yes","PCE","12","Brevig Mission",NA
"25","SR-61","331300","169","Alaska Village Electric Cooperative","Elim","Elim_grid","Bering Straits","0.62329999999999997","0.40522500000000028","0.21807499999999966","0.65012834910957851","Yes","PCE","12","Elim",NA
"26","SR-66","331320","169","Alaska Village Electric Cooperative","Gambell","Gambell_grid","Bering Straits","0.57153333333333312","0.34265833333333362","0.22887499999999947","0.59954216726933474","Yes","PCE","1","Gambell",NA
"27","SR-54","331930","383","Diomede Joint Utilities","Diomede","Diomede_grid","Bering Straits","0","0","0","0","Yes","0","0","Diomede",NA
"28","SR-173","331685","61","Teller Power Company","Teller","Teller_grid","Bering Straits","0.66933333333333334","0.44900833333333434","0.22032499999999902","0.67082918326693375","Yes","PCE","12","Teller",NA
"29","SR-127","332340","150","Nome Joint Utility Systems","Nome","Nome_grid","Bering Straits","0.40176666666666661","0.17558333333333367","0.22618333333333293","0.43702812577781558","Yes","PCE","12","Nome",NA
"30","SR-67","332000","373","Golovin Power Utilities","Golovin","Golovin_grid","Bering Straits","0.51666666666666672","0.31022500000000008","0.20644166666666663","0.60043548387096779","Yes","PCE","3","Golovin",NA
"31","SR-109","332210","321","Manokotak Power Company","Manokotak","Manokotak_grid","Bristol Bay","0.54999999999999993","0.24564166666666654","0.3043583333333334","0.44662121212121192","Yes","PCE","12","Manokotak",NA
"32","SR-183","332730","729","Twin Hills Village Council","Twin Hills","Twin Hills_grid","Bristol Bay","0.94049999999999978","0.33810833333333312","0.60239166666666666","0.35949849370901987","Yes","PCE","12","Twin Hills",NA
"33","SR-145","332590","447","Tanalian Electric Cooperative","Port Alsworth","Port Alsworth_grid","Bristol Bay","0.59114166666666679","0.40436666666666687","0.18677499999999991","0.68404358797242648","Yes","PCE","12","Port Alsworth",NA
"34","SR-138","332470","659","Native Village of Perryville","Perryville","Perryville_grid","Bristol Bay","0.95000000000000007","0.31600000000000106","0.63399999999999901","0.3326315789473695","Yes","PCE","12","Perryville",NA
"35","SR-39","331870","658","Chignik Lagoon Power Utility","Chignik Lagoon","Chignik Lagoon_grid","Bristol Bay","0.6082833333333334","0.35447500000000026","0.25380833333333314","0.58274652711181774","Yes","PCE","12","Chignik Lagoon",NA
"36","SR-80","332040","681","Igiugig Electric Company","Igiugig","Igiugig_grid","Bristol Bay","0.81300000000000006","0.52828333333333388","0.28471666666666612","0.64979499794998008","Yes","PCE","12","Igiugig",NA
"37","SR-58","331940","320","Egegik Light & Power Co","Egegik","Egegik_grid","Bristol Bay","0.86","0.40152500000000024","0.45847499999999974","0.4668895348837212","Yes","PCE","12","Egegik",NA
"38","SR-121","331480","169","Alaska Village Electric Cooperative","New Stuyahok","New_Stuyahok_grid","Bristol Bay","0.64056666666666662","0.42165000000000052","0.21891666666666609","0.6582453036374053","Yes","PCE","12","New Stuyahok",NA
"39","SR-177","331690","169","Alaska Village Electric Cooperative","Togiak","Togiak_grid","Bristol Bay","0.6269916666666665","0.4087500000000005","0.21824166666666597","0.65192254017198625","Yes","PCE","12","Togiak",NA
"40","SR-38","331860","297","Chignik, City of","Chignik","Chignik_grid","Bristol Bay","0.49899999999999994","0.3345499999999999","0.16445000000000001","0.6704408817635269","Yes","PCE","6","Chignik",NA
"41","SR-146","332500","399","Port Heiden Utilities","Port Heiden","Port Heiden_grid","Bristol Bay","0.73333333333333339","0.45165000000000005","0.28168333333333334","0.61588636363636362","Yes","PCE","12","Port Heiden",NA
"42","SR-105","332180","330","Levelock Electrical Coop","Levelock","Levelock_grid","Bristol Bay","0.76249999999999984","0.43525000000000003","0.32724999999999982","0.5708196721311477","Yes","PCE","12","Levelock",NA
"43","SR-40","331880","437","Chignik Lake Electric Utility","Chignik Lake","Chignik Lake_grid","Bristol Bay","0.86166666666666669","0.48720000000000002","0.37446666666666667","0.56541586073500971","Yes","PCE","12","Chignik Lake",NA
"44","SR-46","331910","360","Clark's Point, City of","Clark's Point","Clark's Point_grid","Bristol Bay","0.9028583333333331","0.33265","0.5702083333333331","0.36844096988268749","Yes","PCE","12","Clark's Point",NA
"45","SR-139","332480","425","Pilot Point Electric Utility","Pilot Point","Pilot Point_grid","Bristol Bay","0.59999999999999987","0.33767500000000061","0.26232499999999925","0.5627916666666678","Yes","PCE","3","Pilot Point",NA
"46","SR-81","332050","280","I-N-N Electric Coop, Inc","Iliamna","Newhalen_grid","Bristol Bay","0.56969166666666671","0.25199166666666767","0.31769999999999904","0.44232991530506438","Yes","PCE","12","Iliamna, Newhalen, Nondalton",NA
"47","SR-136","332450","662","Pedro Bay Village Council","Pedro Bay","Pedro Bay_grid","Bristol Bay","0.91","0.44370000000000009","0.46629999999999994","0.48758241758241766","Yes","PCE","12","Pedro Bay",NA
"48","SR-95","332100","660","Kokhanok Village Council","Kokhanok","Kokhanok_grid","Bristol Bay","0.90000000000000024","0.41938333333333361","0.48061666666666664","0.46598148148148166","Yes","PCE","12","Kokhanok",NA
"49","SR-59","331950","688","City of Ekwok","Ekwok","New_Stuyahok_grid","Bristol Bay","0.68938333333333335","0.46798333333333397","0.22139999999999938","0.67884341077774912","Yes","PCE","12","Ekwok",NA
"50","SR-96","332110","661","New Koliganek Village Council","Koliganek","Koliganek_grid","Bristol Bay","0.5","0.32871666666666666","0.17128333333333334","0.65743333333333331","Yes","PCE","12","Koliganek",NA
"51","SR-116","332280","22","Naknek Electric Association","Naknek","Naknek_grid","Bristol Bay","0.56820000000000004","0.38504166666666739","0.18315833333333267","0.67765164848058324","Yes","PCE","12","Naknek, South Naknek, King Salmon",NA
"52","SR-53","332430","45","Nushagak Electric Cooperative","Dillingham","Dillingham_grid","Bristol Bay","0.49256666666666665","0.2558583333333338","0.23670833333333285","0.51943899302970931","Yes","PCE","12","Dillingham, Aleknagik",NA
"53","SR-192","0","10","Copper Valley Elec Assn, Inc","Valdez","CopperValley_grid","Copper River/Chugach","0.24028032072731867","0","0.24028032072731867","0","No","EIA861","12","In addition to Valdez, the CVEA service area includes 14 other communities.",NA
"54","SR-172","332610","586","Tatitlek Village Ira Council","Tatitlek","Tatitlek_grid","Copper River/Chugach","0.92","0.48195833333333332","0.43804166666666672","0.52386775362318838","Yes","PCE","12","Tatitlek",NA
"55","SR-43","331890","368","Chitina Electric Inc","Chitina","Chitina_grid","Copper River/Chugach","0.68845833333333328","0.2952916666666669","0.39316666666666639","0.42891726684016257","Yes","PCE","3","Chitina",NA
"56","SR-49","331920","160","Cordova Electric Cooperative","Cordova","Cordova_grid","Copper River/Chugach","0.34509166666666663","0.11265000000000006","0.23244166666666657","0.32643500519185742","Yes","PCE","12","Cordova, Eyak",NA
"57","SR-113","331160","2","Alaska Power & Telephone Company","Mentasta Lake","Slana_grid","Copper River/Chugach","0.65484166666666643","0.35218333333333379","0.30265833333333264","0.53781448441735369","Yes","PCE","9","Mentasta Lake",NA
"58","SR-165","331195","2","Alaska Power & Telephone Company","Slana","Slana_grid","Copper River/Chugach","0.65251666666666652","0.35218333333333385","0.30033333333333267","0.53973078593139479","Yes","PCE","12","Slana",NA
"59","SR-42","331070","2","Alaska Power & Telephone Company","Chistochina","Slana_grid","Copper River/Chugach","0.65480833333333321","0.35218333333333396","0.30262499999999926","0.53784186212250507","Yes","PCE","12","Chistochina",NA
"60","SR-36","331850","686","Chenega Ira Council","Chenega Bay","Chenega_grid","Copper River/Chugach","0.66500000000000004","0.43156666666666665","0.23343333333333338","0.6489724310776942","Yes","PCE","3","Chenega Bay",NA
"61","SR-135","332440","357","Ouzinkie, City of","Ouzinkie","Ouzinkie_grid","Kodiak","0.36679999999999996","0.1869666666666667","0.17983333333333326","0.50972373682297356","Yes","PCE","6","Ouzinkie",NA
"62","SR-134","331540","169","Alaska Village Electric Cooperative","Old Harbor","Old Harbor_grid","Kodiak","0.59349166666666675","0.37692500000000007","0.21656666666666669","0.63509737570030467","Yes","PCE","12","Old Harbor",NA
"63","SR-104","332170","353","Larsen Bay Utility Company","Larsen Bay","Larsen Bay_grid","Kodiak","0.44","9.9999999999988987E-5","0.43990000000000001","2.2727272727270225E-4","Yes","PCE","12","Larsen Bay",NA
"64","SR-7","0","16","Kodiak Electric Assn Inc","Kodiak","Kodiak_grid","Kodiak","0.17186647914813008","0","0.17186647914813008","0","No","EIA861","12","The KEA service area includes the communities of Port Lions, Chiniak, Womens Bay and Woody Island.",NA
"65","SR-86","331740","683","Alutiiq Power Company","Karluk","Karluk_grid","Kodiak","0.70000000000000007","0.50991666666666779","0.1900833333333323","0.72845238095238252","Yes","PCE","12","Karluk",NA
"66","SR-12","331010","449","Akhiok, City of","Akhiok","Akhiok_grid","Kodiak","0.45000000000000012","0.31792727272727284","0.13207272727272726","0.70650505050505052","Yes","PCE","12","Akhiok",NA
"67","SR-106","332190","570","Lime Village Electric Utility","Lime Village","Lime Village_grid","Lower Yukon-Kuskokwim","1.7847999999999995","0.80445","0.9803499999999995","0.45072277005826994","Yes","PCE","12","Lime Village",NA
"68","SR-118","332300","625","Napaskiak Electric Utility","Napaskiak","Napaskiak_grid","Lower Yukon-Kuskokwim","0.70000000000000007","0.35248181818181917","0.34751818181818089","0.50354545454545596","Yes","PCE","12","Napaskiak",NA
"69","SR-181","332720","344","Tuntutuliak Community","Tuntutuliak","Tuntutuliak_grid","Lower Yukon-Kuskokwim","0.65000000000000013","0.30442500000000011","0.34557500000000002","0.46834615384615391","Yes","PCE","12","Tuntutuliak",NA
"70","SR-90","332080","446","Kipnuk Light Plant","Kipnuk","Kipnuk_grid","Lower Yukon-Kuskokwim","0.64454166666666668","0.42920833333333364","0.21533333333333302","0.66591247010149379","Yes","PCE","12","Kipnuk",NA
"71","SR-107","331430","169","Alaska Village Electric Cooperative","Lower Kalskag","Upper Kalskag_grid","Lower Yukon-Kuskokwim","0.603325","0.3862916666666667","0.2170333333333333","0.640271274465117","Yes","PCE","12","Lower Kalskag",NA
"72","SR-110","331440","169","Alaska Village Electric Cooperative","Marshall","Marshall_grid","Lower Yukon-Kuskokwim","0.60085833333333349","0.38395000000000012","0.21690833333333334","0.63900253803586538","Yes","PCE","12","Marshall",NA
"73","SR-112","331450","169","Alaska Village Electric Cooperative","Mekoryuk","Mekoryuk_grid","Lower Yukon-Kuskokwim","0.58505000000000007","0.3548583333333335","0.23019166666666657","0.60654360026208609","Yes","PCE","6","Mekoryuk",NA
"74","SR-115","331470","169","Alaska Village Electric Cooperative","Mountain Village","Mountain Village_grid","Lower Yukon-Kuskokwim","0.60331666666666672","0.38624166666666704","0.21707499999999968","0.64019724301776348","Yes","PCE","6","Mountain Village",NA
"75","SR-123","331490","169","Alaska Village Electric Cooperative","Nightmute","Toksook Bay_grid","Lower Yukon-Kuskokwim","0.55913333333333326","0.3367750000000006","0.22235833333333266","0.60231608441635975","Yes","PCE","12","Nightmute",NA
"76","SR-133","331530","169","Alaska Village Electric Cooperative","Nunapitchuk","Kasigluk_grid","Lower Yukon-Kuskokwim","0.58535833333333354","0.35910000000000086","0.2262583333333327","0.61347038139031773","Yes","PCE","12","Nunapitchuk",NA
"77","SR-140","331550","169","Alaska Village Electric Cooperative","Pilot Station","Pilot Station_grid","Lower Yukon-Kuskokwim","0.58044166666666663","0.36455000000000037","0.21589166666666629","0.6280562215554254","Yes","PCE","12","Pilot Station",NA
"78","SR-141","331560","169","Alaska Village Electric Cooperative","Pitkas Point","Saint Mary's_grid","Lower Yukon-Kuskokwim","0.57736666666666658","0.36159166666666753","0.21577499999999905","0.62627735119219607","Yes","PCE","12","Pitkas Point",NA
"79","SR-147","331570","169","Alaska Village Electric Cooperative","Quinhagak","Quinhagak_grid","Lower Yukon-Kuskokwim","0.56746666666666667","0.33693333333333397","0.2305333333333327","0.59375000000000111","Yes","PCE","12","Quinhagak",NA
"80","SR-151","331580","169","Alaska Village Electric Cooperative","Russian Mission","Russian Mission_grid","Lower Yukon-Kuskokwim","0.61147499999999988","0.39399166666666752","0.21748333333333233","0.64432996715592228","Yes","PCE","12","Russian Mission",NA
"81","SR-153","331660","169","Alaska Village Electric Cooperative","Saint Mary's","Saint Mary's_grid","Lower Yukon-Kuskokwim","0.57736666666666658","0.36159166666666753","0.21577499999999905","0.62627735119219607","Yes","PCE","12","Saint Mary's, Andreafsky",NA
"82","SR-158","331600","169","Alaska Village Electric Cooperative","Scammon Bay","Scammon Bay_grid","Lower Yukon-Kuskokwim","0.61754166666666654","0.39980833333333332","0.21773333333333322","0.64741920248296347","Yes","PCE","12","Scammon Bay",NA
"83","SR-16","331240","169","Alaska Village Electric Cooperative","Alakanuk","Emmonak_grid","Lower Yukon-Kuskokwim","0.61404999999999998","0.39641666666666675","0.21763333333333323","0.64557717883994259","Yes","PCE","12","Alakanuk",NA
"84","SR-179","331700","169","Alaska Village Electric Cooperative","Toksook Bay","Toksook Bay_grid","Lower Yukon-Kuskokwim","0.56113333333333326","0.3367750000000006","0.22435833333333269","0.60016930022573478","Yes","PCE","12","Toksook Bay",NA
"85","SR-182","331710","169","Alaska Village Electric Cooperative","Tununak","Toksook Bay_grid","Lower Yukon-Kuskokwim","0.56113333333333326","0.3367750000000006","0.22435833333333269","0.60016930022573478","Yes","PCE","12","Tununak",NA
"86","SR-37","331280","169","Alaska Village Electric Cooperative","Chevak","Chevak_grid","Lower Yukon-Kuskokwim","0.56370833333333326","0.33156666666666745","0.23214166666666583","0.58818833616675437","Yes","PCE","12","Chevak",NA
"87","SR-57","331290","169","Alaska Village Electric Cooperative","Eek","Eek_grid","Lower Yukon-Kuskokwim","0.63327500000000014","0.41473333333333351","0.21854166666666666","0.65490242522337594","Yes","PCE","12","Eek",NA
"88","SR-62","331310","169","Alaska Village Electric Cooperative","Emmonak","Emmonak_grid","Lower Yukon-Kuskokwim","0.58953333333333335","0.36578333333333402","0.22374999999999931","0.62046251272192809","Yes","PCE","3","Emmonak",NA
"89","SR-68","331330","169","Alaska Village Electric Cooperative","Goodnews Bay","Goodnews Bay_grid","Lower Yukon-Kuskokwim","0.6352000000000001","0.4165583333333337","0.21864166666666637","0.65579082703610458","Yes","PCE","4","Goodnews Bay",NA
"90","SR-76","331360","169","Alaska Village Electric Cooperative","Hooper Bay","Hooper Bay_grid","Lower Yukon-Kuskokwim","0.5756916666666666","0.3507750000000005","0.2249166666666661","0.60931053949596958","Yes","PCE","12","Hooper Bay",NA
"91","SR-84","331720","169","Alaska Village Electric Cooperative","Kalskag","Upper Kalskag_grid","Lower Yukon-Kuskokwim","0.603325","0.3862916666666667","0.2170333333333333","0.640271274465117","Yes","PCE","12","Kalskag",NA
"92","SR-87","331390","169","Alaska Village Electric Cooperative","Kasigluk","Kasigluk_grid","Lower Yukon-Kuskokwim","0.58535833333333354","0.35910000000000086","0.2262583333333327","0.61347038139031773","Yes","PCE","12","Kasigluk",NA
"93","SR-98","332120","285","Kotlik Joint Utility","Kotlik","Kotlik_grid","Lower Yukon-Kuskokwim","0.62073333333333325","0.40280833333333321","0.21792500000000001","0.6489233165073568","Yes","PCE","12","Kotlik",NA
"94","SR-25","331780","337","Atmautluak Tribal Utilities","Atmautluak","Atmautluak_grid","Lower Yukon-Kuskokwim","0.79930000000000001","0.30259999999999992","0.49670000000000009","0.37858125860127601","Yes","PCE","12","Atmautluak",NA
"95","SR-103","332160","376","Kwigillingok Power Company","Kwigillingok","Kwigillingok_grid","Lower Yukon-Kuskokwim","0.66454545454545455","0.36799090909090915","0.2965545454545454","0.55374829001367998","Yes","PCE","12","Kwigillingok",NA
"96","SR-122","332870","375","Ungusraq Power Company","Newtok","Newtok_grid","Lower Yukon-Kuskokwim","0.79999999999999993","0.54430833333333317","0.25569166666666671","0.68038541666666652","Yes","PCE","12","Newtok",NA
"97","SR-97","332510","395","Puvurnaq Power Company","Kongiganak","Kongiganak_grid","Lower Yukon-Kuskokwim","0.65000000000000013","0.27214166666666678","0.37785833333333335","0.41867948717948728","Yes","PCE","12","Kongiganak",NA
"98","SR-21","331760","5","Aniak Light & Power","Aniak","Aniak_grid","Lower Yukon-Kuskokwim","0.71906666666666652","0.43776666666666691","0.28129999999999961","0.60879844242536674","Yes","PCE","12","Aniak",NA
"99","SR-149","332250","343","Middle Kuskokwim Electric","Red Devil","Red Devil_grid","Lower Yukon-Kuskokwim","0.93155833333333338","0.66655833333333359","0.26499999999999974","0.71553042840401859","Yes","PCE","12","Red Devil",NA
"100","SR-166","332260","343","Middle Kuskokwim Electric","Sleetmute","Sleetmute_grid","Lower Yukon-Kuskokwim","0.93423333333333336","0.66655833333333359","0.26767499999999972","0.7134816427016808","Yes","PCE","12","Sleetmute",NA
"101","SR-169","332270","343","Middle Kuskokwim Electric","Stony River","Stony River_grid","Lower Yukon-Kuskokwim","0.94983333333333331","0.66655833333333359","0.28327499999999978","0.70176346727496075","Yes","PCE","12","Stony River",NA
"102","SR-44","332230","343","Middle Kuskokwim Electric","Chuathbaluk","Chuathbaluk_grid","Lower Yukon-Kuskokwim","0.93409166666666676","0.6665583333333337","0.26753333333333307","0.7135898511031219","Yes","PCE","12","Chuathbaluk",NA
"103","SR-51","332240","343","Middle Kuskokwim Electric","Crooked Creek","Crooked Creek_grid","Lower Yukon-Kuskokwim","0.93407499999999999","0.66655833333333359","0.2675166666666664","0.71360258366119811","Yes","PCE","12","Crooked Creek",NA
"104","SR-28","331800","43","Bethel Utilities Corp","Bethel","Bethel_grid","Lower Yukon-Kuskokwim","0.42786666666666667","0.27383333333333337","0.15403333333333327","0.63999688376441266","Yes","PCE","12","Bethel, Oscarville",NA
"105","SR-132","332420","408","Nunam Iqua Electric Company","Nunam Iqua","Nunam Iqua_grid","Lower Yukon-Kuskokwim","0.53000000000000014","0.33253333333333346","0.19746666666666665","0.62742138364779887","Yes","PCE","12","Nunam Iqua",NA
"106","SR-117","332290","319","Napakiak Ircinraq","Napakiak","Bethel_grid","Lower Yukon-Kuskokwim","0.84833333333333316","0.52754999999999996","0.32078333333333314","0.62186640471512777","Yes","PCE","12","Napakiak",NA
"107","SR-14","331030","635","Akiak City Council","Akiak","Akiak_grid","Lower Yukon-Kuskokwim","0.65499999999999992","0.30229166666666668","0.35270833333333323","0.46151399491094158","Yes","PCE","12","Akiak",NA
"108","SR-35","332310","365","Naterkaq Light Plant (City of Chefornak)","Chefornak","Chefornak_grid","Lower Yukon-Kuskokwim","0.50833333333333341","0.27860000000000007","0.22973333333333337","0.54806557377049181","Yes","PCE","3","Chefornak",NA
"109","SR-102","332150","281","Kwethluk Incorporated d/b/a Kuiggluum Kallugvia","Kwethluk","Kwethluk_grid","Lower Yukon-Kuskokwim","0.51999999999999991","0.30349999999999988","0.21650000000000003","0.58365384615384608","Yes","PCE","12","Kwethluk",NA
"110","SR-13","331020","412","Akiachak Native Community","Akiachak","Akiachak_grid","Lower Yukon-Kuskokwim","0.60764166666666652","0.34945000000000032","0.25819166666666621","0.57509222814981487","Yes","PCE","12","Akiachak",NA
"111","SR-180","332710","664","Tuluksak Traditional","Tuluksak","Tuluksak_grid","Lower Yukon-Kuskokwim","0.9600000000000003","0.34478333333333455","0.61521666666666575","0.35914930555555669","Yes","PCE","12","Tuluksak",NA
"112","SR-130","332380","254","North Slope Borough Power & Light","Nuiqsut","Nuiqsut_grid","North Slope","7.9999999999999988E-2","5.0000000000008371E-5","7.9949999999999979E-2","6.2500000000010475E-4","Yes","PCE","12","Nuiqsut",NA
"113","SR-143","332390","254","North Slope Borough Power & Light","Point Hope","Point Hope_grid","North Slope","0.16669166666666665","9.000000000000119E-4","0.16579166666666664","5.3991901214818496E-3","Yes","PCE","12","Point Hope",NA
"114","SR-144","332400","254","North Slope Borough Power & Light","Point Lay","Point Lay_grid","North Slope","0.15154166666666663","9.000000000000119E-4","0.15064166666666662","5.9389606818807507E-3","Yes","PCE","12","Point Lay",NA
"115","SR-187","332410","254","North Slope Borough Power & Light","Wainwright","Wainwright_grid","North Slope","0.15317499999999998","9.000000000000119E-4","0.15227499999999997","5.8756324465481444E-3","Yes","PCE","6","Wainwright",NA
"116","SR-19","332350","254","North Slope Borough Power & Light","Anaktuvuk Pass","Anaktuvuk Pass_grid","North Slope","0.14999999999999997","9.000000000000119E-4","0.14909999999999995","6.0000000000000808E-3","Yes","PCE","6","Anaktuvuk Pass",NA
"117","SR-26","332360","254","North Slope Borough Power & Light","Atqasuk","Atqasuk_grid","North Slope","0.16107499999999997","8.9999999999998415E-4","0.16017499999999998","5.5874592581094786E-3","Yes","PCE","12","Atqasuk",NA
"118","SR-83","332370","254","North Slope Borough Power & Light","Kaktovik","Kaktovik_grid","North Slope","0.15864999999999996","8.9999999999998415E-4","0.15774999999999997","5.672864796722246E-3","Yes","PCE","12","Kaktovik",NA
"119","SR-194","0","214","Barrow Utilities & Electric Cooperative Inc.","Utqiagvik","Utqiagvik_grid","North Slope","0.13033315890458749","0","0.13033315890458749","0","No","EIA861","12","Utqiagvik",NA
"120","SR-10","0","227","TDX North Slope Generating Co","Deadhorse","Deadhorse_grid","North Slope","0","0","0","0","No","EIA861","12","Deadhorse",NA
"121","SR-126","331500","169","Alaska Village Electric Cooperative","Noatak","Noatak_grid","Northwest Arctic","0.87020000000000008","0.63981666666666714","0.23038333333333297","0.73525243239102167","Yes","PCE","12","Noatak",NA
"122","SR-128","331510","169","Alaska Village Electric Cooperative","Noorvik","Noorvik_grid","Northwest Arctic","0.67758333333333332","0.45680833333333326","0.22077500000000003","0.67417291846021388","Yes","PCE","12","Noorvik",NA
"123","SR-159","331610","169","Alaska Village Electric Cooperative","Selawik","Selawik_grid","Northwest Arctic","0.62769999999999981","0.40834166666666716","0.21935833333333268","0.65053634963623908","Yes","PCE","12","Selawik",NA
"124","SR-163","331650","169","Alaska Village Electric Cooperative","Shungnak","Shungnak_grid","Northwest Arctic","0.75794166666666662","0.53316666666666657","0.22477500000000003","0.70344023836486969","Yes","PCE","12","Shungnak",NA
"125","SR-18","331250","169","Alaska Village Electric Cooperative","Ambler","Ambler_grid","Northwest Arctic","0.68299230769230757","0.46239999999999981","0.22059230769230773","0.67702080212638938","Yes","PCE","12","Ambler",NA
"126","SR-88","331400","169","Alaska Village Electric Cooperative","Kiana","Kiana_grid","Northwest Arctic","0.64752500000000002","0.42828333333333368","0.21924166666666633","0.66141590414784557","Yes","PCE","3","Kiana",NA
"127","SR-91","331410","169","Alaska Village Electric Cooperative","Kivalina","Kivalina_grid","Northwest Arctic","0.66918333333333324","0.44880833333333325","0.22037499999999999","0.67068068043137152","Yes","PCE","4","Kivalina",NA
"128","SR-99","332130","17","Kotzebue Electric Association","Kotzebue","Kotzebue_grid","Northwest Arctic","0.41444166666666654","0.23538333333333344","0.1790583333333331","0.56795286831681224","Yes","PCE","12","Kotzebue",NA
"129","SR-52","332060","369","Ipnatchiaq Electric Company","Deering","Deering_grid","Northwest Arctic","0.70469999999999999","0.36707499999999993","0.33762500000000006","0.52089541648928617","Yes","PCE","3","Deering",NA
